algorithm,timestamp,inputSize,inputType,comparisons,arrayAccesses,memoryAllocations,timeNanos,timeMillis
KadaneAlgorithm,1759614459855,10000,standard,30004,10002,1,45300,0
KadaneAlgorithm,1759614459855,10000,standard,30000,10002,1,45100,0
KadaneAlgorithm,1759614459855,10000,standard,30000,10002,1,47400,0
KadaneAlgorithm,1759614459856,10000,standard,30005,10002,1,46100,0
KadaneAlgorithm,1759614459856,10000,standard,30001,10002,1,44500,0
KadaneAlgorithm,1759614459856,10000,standard,29998,10002,1,42000,0
KadaneAlgorithm,1759614459856,10000,standard,29998,10002,1,42800,0
KadaneAlgorithm,1759614459857,10000,standard,29998,10002,1,42500,0
KadaneAlgorithm,1759614459857,10000,standard,29998,10002,1,42300,0
KadaneAlgorithm,1759614459857,10000,standard,29998,10002,1,43200,0
KadaneAlgorithm,1759614459859,100000,standard,300437,100002,1,439500,0
KadaneAlgorithm,1759614459860,100000,standard,300826,100002,1,438000,0
KadaneAlgorithm,1759614459862,100000,standard,300442,100002,1,443100,0
KadaneAlgorithm,1759614459864,100000,standard,300813,100002,1,441200,0
KadaneAlgorithm,1759614459865,100000,standard,300996,100002,1,174200,0
KadaneAlgorithm,1759614459866,100000,standard,365533,100002,1,229900,0
KadaneAlgorithm,1759614459867,100000,standard,365533,100002,1,217300,0
KadaneAlgorithm,1759614459867,100000,standard,365533,100002,1,216700,0
KadaneAlgorithm,1759614459868,100000,standard,365533,100002,1,208400,0
KadaneAlgorithm,1759614459868,100000,standard,365533,100002,1,238900,0
KadaneAlgorithm,1759614459870,100000,standard,324465,100002,1,208400,0
KadaneAlgorithm,1759614459871,100000,standard,324465,100002,1,193900,0
KadaneAlgorithm,1759614459871,100000,standard,324465,100002,1,209700,0
KadaneAlgorithm,1759614459872,100000,standard,324465,100002,1,198900,0
KadaneAlgorithm,1759614459872,100000,standard,324465,100002,1,190600,0
KadaneAlgorithm,1759614459874,100000,standard,399997,100002,1,229300,0
KadaneAlgorithm,1759614459875,100000,standard,399997,100002,1,223300,0
KadaneAlgorithm,1759614459876,100000,standard,399997,100002,1,223400,0
KadaneAlgorithm,1759614459877,100000,standard,399997,100002,1,220500,0
KadaneAlgorithm,1759614459878,100000,standard,399997,100002,1,229100,0
KadaneAlgorithm,1759614459880,100000,standard,300003,100002,1,178300,0
KadaneAlgorithm,1759614459881,100000,standard,300000,100002,1,169000,0
KadaneAlgorithm,1759614459882,100000,standard,300005,100002,1,79800,0
KadaneAlgorithm,1759614459884,100000,standard,300000,100002,1,79300,0
KadaneAlgorithm,1759614459885,100000,standard,300001,100002,1,76600,0
KadaneAlgorithm,1759614459885,100000,standard,299998,100002,1,83700,0
KadaneAlgorithm,1759614459886,100000,standard,299998,100002,1,82200,0
KadaneAlgorithm,1759614459886,100000,standard,299998,100002,1,85600,0
KadaneAlgorithm,1759614459887,100000,standard,299998,100002,1,157500,0
KadaneAlgorithm,1759614459887,100000,standard,299998,100002,1,83000,0
